name,map_pid,map_revision,description,format,framerate,height,asset_type,mime_type,bitrate,video_bitrate,video_bitrate_mode,codec,video_mode,width,audio_bitrate,audio_codec,audio_mode,map_link
webcast_p3,p00mb197,3,Created for Live Media. Live Event Streaming Profile 3.,Baseline L3,25,216,audio_video,video/mp4,368,320,CBR,h264,SD,384,48,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00mb197/media_profile_groups/
webcast_p4,p00mb198,3,Created for Live Media. Live Event Streaming Profile 4.,Baseline L3,25,288,audio_video,video/mp4,496,448,CBR,h264,SD,512,48,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00mb198/media_profile_groups/
webcast_p5,p00mb19b,2,Created for Live Media. Live Event Streaming Profile 5.,Main (auto),25,360,audio_video,video/mp4,796,700,CBR,h264,SD,640,96,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00mb19b/media_profile_groups/
webcast_p8,p00pf8cx,2,Created for Live Media. Live Event Video Streaming Profile 8.,Main (auto),25,720,audio_video,video/mp4,3500,3404,CBR,h264,720p,1280,96,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8cx/media_profile_groups/
a_od_p001,p00pf8d0,1,MAPnew MAP 1,Real Audio 6,-,-,audio,audio/x-realaudio,128,-,-,-,-,-,128,cook,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d0/media_profile_groups/
a_od_p007,p00pf8d1,1,MAPNew MAP 7,wma9,-,-,audio,audio/wma,48,-,-,-,-,-,48,wma9,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d1/media_profile_groups/
a_od_p002,p00pf8d2,1,MAPNew MAP 2,MPEG4 part 14,-,-,audio,audio/mp4,32,-,-,-,-,-,32,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d2/media_profile_groups/
a_od_p005,p00pf8d4,2,MAPNew MAP 5,MPEG2 part 3,-,-,audio,audio/mpeg,80,-,-,-,-,-,80,mp3,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d4/media_profile_groups/
webcast_p7,p00pf8d5,2,Created for Live Media. Live Event Video Streaming Profile 7.,Main (auto),25,576,audio_video,video/mp4,1996,1900,CBR,h264,SD,1024,96,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d5/media_profile_groups/
a_od_p003,p00pf8d7,1,MAPNew MAP 3,MPEG4 part 14,-,-,audio,audio/mp4,48,-,-,-,-,-,48,aac,Mono,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d7/media_profile_groups/
a_od_p008,p00pf8d8,1,MAPNew MAP 8,wma9,-,-,audio,audio/wma,128,-,-,-,-,-,128,wma9,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8d8/media_profile_groups/
a_od_p006,p00pf8db,2,MAPNew MAP 6,MPEG2 part 3,-,-,audio,audio/mpeg,128,-,-,-,-,-,128,mp3,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8db/media_profile_groups/
webcast_p6,p00pf8dd,2,Created for Live Media. Live Event Video Streaming Profile 6.,Main (auto),25,396,audio_video,video/mp4,1500,1404,CBR,h264,SD,704,96,AAC-LC,Stereo,https://api.live.bbc.co.uk/pips/api/v1/media_asset_profile/pid.p00pf8dd/media_profile_groups/
